,code,airport_name,city,state
3748,NC2, Johnston Regional,Smithfield, NC
3749,NC3, Shelby-Cleveland County Regional,Shelby, NC
3750,NC4, Currituck County Regional,Currituck, NC
3751,NC5, Duplin County,Kenansville, NC
3752,NC6, Henderson Oxford,Oxford, NC
3753,NC7, Michael J. Smith Field,Beaufort, NC
3754,NC8, Burlington Alamance Regional,Burlington, NC
3755,NC9, Richmond County,Rockingham, NC
3756,NCA, North Caicos International,North Caicos, Turks and Caicos Islands
3757,NCE, Nice Cote D Azur,Nice, France
3758,NCH, Nachingwea Airport,Nachingwea, Tanzania
3759,NCI, Necocli Airport,Necocli, Colombia
3760,NCL, Newcastle Airport,Newcastle, United Kingdom
3761,NCN, Chenega Bay,Chenega, AK
3762,NCO, Quonset State Air Reserve National Guard Helipad,North Kingstown, RI
3763,NCP, Cubi Point NAS,Subic Bay, Philippines
3764,NCQ, Dobbins ARB,Marietta, GA
3765,NCS, Newcastle Airport,Newcastle, South Africa
3766,NCT, Miguel Angel Castillo Zumbado,Nicoya, Costa Rica
3767,NCU, Nukus Airport,Nukus, Uzbekistan
3768,NCY, Annecy Meythet,Annecy, France
3769,ND1, Robert Odegaard Field,Kindred, ND
3770,NDB, Nouadhibou Airport,Nouadhibou, Mauritania
3771,NDC, Nanded Airport,Nanded, India
3772,NDJ, Hassan Djamous,Ndjamena, Chad
3773,NDL, Ndele Airport,Ndele, Central African Republic
3774,NDR, El Aroui International,Nador, Morocco
3775,NDZ, Nordholz-Spieka,Cuxhaven, Germany
3776,NE1, Gothenburg Municipal,Gothenburg, NE
3777,NE2, Blair Municipal,Blair, NE
3778,NE3, York Municipal,York, NE
3779,NE4, Smith Field,Champion, NE
3780,NEA, Glynco NAS,Brunswick, GA
3781,NEG, Negril Airport,Negril, Jamaica
3782,NEK, Nekempte Airport,Nekempte, Ethiopia
3783,NEL, Lakehurst/Maxfield Field,Lakehurst, NJ
3784,NER, Neryungri Airport,Neryungri, Russia
3785,NET, New Bight Airport,New Bight, The Bahamas
3786,NEU, Samneua,Sam Neua, Laos
3787,NEV, Vance Winkworth Amory,Nevis, Saint Kitts and Nevis
3788,NEW, Lakefront,New Orleans, LA
